idreport_basic,autore,EMAIL (GENERATED)
539,Hope Center Jaci,dummyemail_88@mnthn.loc
568,HOT TUBE,dummyemail_89@mnthn.loc
826,HuntersData,dummyemail_90@mnthn.loc
483,I CALATEAM,dummyemail_91@mnthn.loc
559,I CASTELLANI DI HIPPONION,dummyemail_92@mnthn.loc
681,I Confiscati,dummyemail_93@mnthn.loc
535,I GOLIARDI,dummyemail_94@mnthn.loc
480,I Ragazzi Di Montagna,dummyemail_95@mnthn.loc
730,I RICICLANTI,dummyemail_96@mnthn.loc
570,i Rifiusati Team,dummyemail_97@mnthn.loc
588,I WATERBOYS,dummyemail_98@mnthn.loc
486,Il Caffè dell'I.T.E.S,dummyemail_2@mnthn.loc
532,Il Team dei Differenziati,dummyemail_99@mnthn.loc
586,indagini in CORSO,dummyemail_100@mnthn.loc
610,intRighi,dummyemail_101@mnthn.loc
627,ITEAM DON GNOCCHI,dummyemail_102@mnthn.loc
723,Katàbasis,dummyemail_104@mnthn.loc
546,L' isola che... sarà ,dummyemail_105@mnthn.loc
663,L'Officina del Sociale,dummyemail_106@mnthn.loc
577,La casa del corallo,dummyemail_107@mnthn.loc
701,La Fenice,dummyemail_108@mnthn.loc
658,LANDSCOPE,dummyemail_109@mnthn.loc
555,Le Nostre Mura,dummyemail_110@mnthn.loc
619,Liceo Scientifico Pitagora,dummyemail_137@mnthn.loc
698,Lifestyle Promoters,dummyemail_113@mnthn.loc
335,Lino Castrovilli,dummyemail_114@mnthn.loc
717,Lost Flight,dummyemail_115@mnthn.loc
516,LUDUS ET LABOR_LICEO D'OVIDIO,dummyemail_116@mnthn.loc
749,M.U.R.O (MUOVIAMOCI UNITI RICERCANDO OLTRE),dummyemail_122@mnthn.loc
635,MAI DIRE EUXIT,dummyemail_123@mnthn.loc
694,MAQ- Monitoraggio Attivo Quarto,dummyemail_124@mnthn.loc
820,MariaChiriatti2,dummyemail_125@mnthn.loc
728,Marrøabbio,dummyemail_126@mnthn.loc
509,MCL - MONITORAGGIO CIVICO LOCALE,dummyemail_128@mnthn.loc
528,Missione Apollo,dummyemail_129@mnthn.loc
650,MONITORANS,dummyemail_130@mnthn.loc
629,moovit security,dummyemail_131@mnthn.loc
526,Mr Wolfe,dummyemail_132@mnthn.loc
671,NEW LIGHTS TEAM,dummyemail_133@mnthn.loc
713,Next stop team,dummyemail_134@mnthn.loc
553,NOI FACCIAMO LA DIFFERENZA,dummyemail_135@mnthn.loc
595,NoiRagazziDelFuturo,dummyemail_136@mnthn.loc
673,Nuvkrinum,dummyemail_142@mnthn.loc
597,Occhio ai bimbi!,dummyemail_143@mnthn.loc
726,OFF THE FLAMES,dummyemail_144@mnthn.loc
724,Oltre Mare,dummyemail_145@mnthn.loc
764,On Board!,dummyemail_146@mnthn.loc
675,OPEN MUSEUM,dummyemail_147@mnthn.loc
303,OpenCalabria,dummyemail_152@mnthn.loc
757,OUR TAUN,dummyemail_148@mnthn.loc
611,Phoenix Team,dummyemail_153@mnthn.loc
654,Phoinix,dummyemail_154@mnthn.loc
538,Piccolo Uomo,dummyemail_155@mnthn.loc
552,POPULAR GIULIO,dummyemail_156@mnthn.loc
518,Purify squad,dummyemail_157@mnthn.loc
502,RAGIONIERI OPERATIVI PER UNA COSCIENZA CIVICA,dummyemail_158@mnthn.loc
520,RE - STADIO,dummyemail_159@mnthn.loc
708,Recycle Squad,dummyemail_160@mnthn.loc
628,Reisers,dummyemail_161@mnthn.loc
592,RicerchiAMO: in pasta mani pulite,dummyemail_162@mnthn.loc
527,RICOSTRUENDO LA STORIA,dummyemail_163@mnthn.loc
521,Rimpiazzo di Piazza,dummyemail_164@mnthn.loc
677,risorTOrino,dummyemail_165@mnthn.loc
517,Royal Team,dummyemail_166@mnthn.loc
641,Rufolio,dummyemail_167@mnthn.loc
572,Sa Costa,dummyemail_168@mnthn.loc
511,SALERNO FOR 4A AFM,dummyemail_169@mnthn.loc
655,Salifornia Team,dummyemail_170@mnthn.loc
513,Salutis Mater,dummyemail_171@mnthn.loc
614,Sea of Tomorrow,dummyemail_172@mnthn.loc
665,Simplex Olbia,dummyemail_173@mnthn.loc
792,students_free,dummyemail_175@mnthn.loc
640,Stupitevi!,dummyemail_176@mnthn.loc
522,Superelevati,dummyemail_177@mnthn.loc
759,Surfin Termoli,dummyemail_178@mnthn.loc
722,Team Fenix,dummyemail_179@mnthn.loc
617,Team OverRail,dummyemail_181@mnthn.loc
762,TeaMasci,dummyemail_182@mnthn.loc
667,teamGuilielmus,dummyemail_183@mnthn.loc
631,TeamOne,dummyemail_185@mnthn.loc
630,TeamWolf,dummyemail_186@mnthn.loc
829,ternanae,dummyemail_187@mnthn.loc
589,The Albatross,dummyemail_188@mnthn.loc
541,The Avengers,dummyemail_189@mnthn.loc
702,The City Mind,dummyemail_190@mnthn.loc
591,THE FUTURE TEAM,dummyemail_191@mnthn.loc
590,The Hunters,dummyemail_192@mnthn.loc
523,The time travellers,dummyemail_193@mnthn.loc
495,The Yellow Subway Marines,dummyemail_194@mnthn.loc
514,Together for the Future,dummyemail_197@mnthn.loc
672,Tracce...Umane,dummyemail_198@mnthn.loc
634,TREEMIND,dummyemail_199@mnthn.loc
561,turismo on move,dummyemail_200@mnthn.loc
632,Turning Point,dummyemail_201@mnthn.loc
567,Tutti in pista !,dummyemail_202@mnthn.loc
508,Una Mano per il Rione,dummyemail_203@mnthn.loc
485,Uniti per conoscere,dummyemail_204@mnthn.loc
484,Upper Minds,dummyemail_205@mnthn.loc
682,VeniVidiVico,dummyemail_208@mnthn.loc
599,Viaggiatori Nel Tempo,dummyemail_209@mnthn.loc
684,Visum,dummyemail_210@mnthn.loc
575,VittoriaTo,dummyemail_138@mnthn.loc
771,Volterra's Station,dummyemail_211@mnthn.loc
501,Wait on,dummyemail_212@mnthn.loc
738,Walking Together,dummyemail_214@mnthn.loc
761,Waterway,dummyemail_216@mnthn.loc
584,We Are For Legality,dummyemail_217@mnthn.loc
719,who's the good human,dummyemail_218@mnthn.loc
791,WorkAndFun18,dummyemail_219@mnthn.loc
